Datetime,Volume,Open,High,Low,Close,Rate
2009-12-31 22:00,8,133.497,133.497,133.347,133.347,-0.0011236207555226385
2010-01-02 22:00,809,133.073,133.158,132.959,133.008,-0.0004884537058606759
2010-01-03 22:00,35318,133.004,133.794,132.388,133.336,0.002496165528856441
2010-01-04 22:00,35794,133.313,133.474,131.456,131.744,-0.011769294817459577
2010-01-05 22:00,36503,131.759,133.488,131.265,133.013,0.009517376422104139
2010-01-06 22:00,37067,133.026,133.663,132.392,133.595,0.0042773593132168775
2010-01-07 22:00,44319,133.591,134.135,132.336,133.501,-0.000673698078463395
2010-01-08 22:00,3,133.428,133.528,133.428,133.528,0.0007494678778067147
2010-01-09 22:00,1197,133.622,133.685,133.349,133.597,-0.0001870949394561201
2010-01-10 22:00,30848,133.611,134.378,133.433,133.65,0.0002918921346297512
2010-01-11 22:00,43453,133.63,133.818,131.637,131.793,-0.013746913118311676
2010-01-12 22:00,36487,131.777,133.217,131.516,132.586,0.006139159337365595
2010-01-13 22:00,36720,132.59,133.645,131.720,132.256,-0.0025190436684516416
2010-01-14 22:00,39381,132.264,132.413,130.304,130.589,-0.012664065807778468
2010-01-15 22:00,3,130.57,130.589,130.570,130.589,0.00014551581527154367
2010-01-16 22:00,1112,130.589,130.597,130.132,130.305,-0.002174762039681687
2010-01-17 22:00,21997,130.296,130.948,130.090,130.585,0.0022180266470192157
2010-01-18 22:00,34267,130.596,130.717,129.642,130.234,-0.0027719072559649204
2010-01-19 22:00,39743,130.227,130.326,128.408,128.693,-0.011779431300728664
2010-01-20 22:00,48690,128.696,129.497,127.049,127.374,-0.010272269534406684
2010-01-21 22:00,58916,127.385,128.204,126.543,126.985,-0.003140087137418108
2010-01-22 22:00,2,126.971,126.979,126.971,126.979,6.30065132982773e-05
2010-01-23 22:00,2824,126.979,127.973,126.740,127.752,0.0060876207876892725
2010-01-24 22:00,36257,127.748,128.136,127.074,127.746,-1.5655822400425444e-05
2010-01-25 22:00,50821,127.752,128.365,125.680,126.16,-0.012461644436094925
2010-01-26 22:00,46540,126.155,126.396,125.240,126.238,0.0006579208116998804
2010-01-27 22:00,44149,126.241,127.088,125.108,125.625,-0.004879555770312336
2010-01-28 22:00,47377,125.628,126.751,124.824,125.135,-0.0039242843951984826
2010-01-29 22:00,2,125.139,125.139,125.139,125.139,0.0
2010-01-30 22:00,2629,125.143,125.146,124.449,124.617,-0.004203191548868065
2010-01-31 22:00,35765,124.612,126.520,124.556,126.229,0.012976278368054477
2010-01-31 22:00,35765,124.612,126.520,124.556,126.229,0.012976278368054477
2010-02-01 22:00,36958,126.224,126.697,125.824,126.212,-9.506908353403834e-05
2010-02-02 22:00,37275,126.205,126.982,125.975,126.414,0.0016560358147458753
2010-02-03 22:00,51440,126.408,126.471,121.570,122.183,-0.03342351749889243
2010-02-04 22:00,79303,122.171,123.319,120.700,122.076,-0.0007775986117819538
2010-02-05 22:00,2,122.073,122.073,122.073,122.073,0.0
2010-02-06 22:00,2171,122.273,122.625,122.205,122.253,-0.00016356840839756956
2010-02-07 22:00,46719,122.25,122.783,121.566,121.824,-0.0034846625766871324
