Datetime,January,February,March,April,May,June,July,August,September,October,November,December,day,Sunday,Monday,Thuesday,Wednesday,Thursday,Friday,Saturday,Volume,Open,High,Low,Close
2009-12-31 11:50:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,546,92.902,93.084,92.864,93.084
2009-12-31 12:00:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,355,93.088,93.102,93.024,93.054
2009-12-31 12:10:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,214,93.056,93.094,93.056,93.070
2009-12-31 12:20:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,135,93.068,93.094,93.044,93.092
2009-12-31 12:30:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,233,93.090,93.098,93.050,93.052
2009-12-31 12:40:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,157,93.056,93.064,93.034,93.064
2009-12-31 12:50:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,111,93.062,93.094,93.038,93.094
2009-12-31 13:00:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,76,93.092,93.106,93.084,93.100
2009-12-31 13:10:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,37,93.097,93.105,93.094,93.097
2009-12-31 13:20:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,12,93.099,93.105,93.099,93.103
2009-12-31 13:30:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,32,93.105,93.116,93.105,93.109
2009-12-31 13:40:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,76,93.106,93.114,93.085,93.090
2009-12-31 13:50:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,128,93.088,93.143,93.070,93.143
2009-12-31 14:00:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,69,93.141,93.141,93.087,93.087
2009-12-31 14:10:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,72,93.093,93.144,93.093,93.122
2009-12-31 14:20:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,60,93.120,93.143,93.109,93.116
2009-12-31 14:30:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,57,93.119,93.143,93.112,93.126
2009-12-31 14:40:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,75,93.123,93.123,93.052,93.075
2009-12-31 14:50:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,107,93.072,93.112,93.052,93.106
2009-12-31 15:00:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,21,93.103,93.103,93.064,93.064
2009-12-31 15:10:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,31,93.061,93.078,93.052,93.061
2009-12-31 15:20:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,35,93.065,93.072,93.055,93.055
2009-12-31 15:30:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,53,93.057,93.081,93.040,93.069
2009-12-31 15:40:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,46,93.072,93.072,93.038,93.052
2009-12-31 15:50:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,28,93.049,93.057,93.043,93.051
2009-12-31 16:00:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,45,93.054,93.084,93.054,93.067
2009-12-31 16:10:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,54,93.064,93.081,93.046,93.081
2009-12-31 16:20:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,30,93.085,93.105,93.079,93.105
2009-12-31 16:30:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,18,93.103,93.105,93.067,93.070
2009-12-31 16:40:00,0,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0,0,0,0,63,93.067,93.093,93.060,93.081
