Datetime,hour_range,day,Volume,Open,High,Low,Close
2010-01-03 18:00,18,3,35,92.943,93.000,92.925,92.934
2010-01-03 19:00,19,3,83,92.939,92.974,92.931,92.944
2010-01-03 20:00,20,3,97,92.942,92.990,92.930,92.952
2010-01-03 21:00,21,3,194,92.956,93.054,92.956,92.986
2010-01-03 22:00,22,3,933,92.984,93.090,92.888,92.930
2010-01-03 23:00,23,3,1282,92.932,93.014,92.696,92.746
2010-01-04 00:00,0,4,1701,92.748,92.964,92.748,92.898
2010-01-04 01:00,1,4,1263,92.900,93.076,92.894,92.980
2010-01-04 02:00,2,4,879,92.982,92.984,92.845,92.874
2010-01-04 03:00,3,4,762,92.872,92.918,92.724,92.757
2010-01-04 04:00,4,4,463,92.760,92.793,92.726,92.745
2010-01-04 05:00,5,4,625,92.743,92.873,92.736,92.873
2010-01-04 06:00,6,4,1485,92.869,93.061,92.753,93.052
2010-01-04 07:00,7,4,1438,93.050,93.213,93.029,93.038
2010-01-04 08:00,8,4,1669,93.040,93.061,92.824,92.856
2010-01-04 09:00,9,4,1550,92.858,92.864,92.724,92.802
2010-01-04 10:00,10,4,757,92.800,92.942,92.784,92.942
2010-01-04 11:00,11,4,1075,92.940,92.943,92.754,92.799
2010-01-04 12:00,12,4,914,92.797,92.926,92.779,92.858
2010-01-04 13:00,13,4,1503,92.860,92.901,92.611,92.643
2010-01-04 14:00,14,4,1943,92.641,92.729,92.477,92.614
2010-01-04 15:00,15,4,2907,92.616,92.710,92.186,92.353
2010-01-04 16:00,16,4,1359,92.351,92.579,92.314,92.558
2010-01-04 17:00,17,4,1011,92.555,92.691,92.494,92.691
2010-01-04 18:00,18,4,571,92.689,92.689,92.565,92.607
2010-01-04 19:00,19,4,472,92.609,92.609,92.493,92.592
2010-01-04 20:00,20,4,555,92.595,92.627,92.519,92.585
2010-01-04 21:00,21,4,469,92.588,92.596,92.503,92.509
2010-01-04 22:00,22,4,549,92.506,92.555,92.386,92.421
2010-01-04 23:00,23,4,608,92.421,92.546,92.410,92.484
2010-01-05 00:00,0,5,1164,92.480,92.522,92.338,92.368
2010-01-05 01:00,1,5,1509,92.370,92.378,92.120,92.276
2010-01-05 02:00,2,5,884,92.278,92.310,92.194,92.246
2010-01-05 03:00,3,5,558,92.242,92.266,92.130,92.162
2010-01-05 04:00,4,5,2306,92.160,92.186,91.638,91.706
2010-01-05 05:00,5,5,1459,91.704,91.878,91.648,91.686
2010-01-05 06:00,6,5,886,91.688,91.792,91.686,91.696
2010-01-05 07:00,7,5,1267,91.698,91.930,91.686,91.890
