Datetime,Volume,Open,High,Low,Close
2009-12-31 22:00,3,93.069,93.069,93.047,93.047
2010-01-02 22:00,409,92.943,93.054,92.925,92.986
2010-01-03 22:00,27586,92.984,93.213,92.186,92.509
2010-01-04 22:00,29222,92.506,92.555,91.258,91.704
2010-01-05 22:00,29730,91.706,92.740,91.526,92.320
2010-01-06 22:00,32574,92.323,93.404,92.112,93.368
2010-01-07 22:00,39819,93.370,93.773,92.276,92.661
2010-01-08 22:00,2,92.664,92.664,92.664,92.664
2010-01-09 22:00,644,92.677,92.677,92.389,92.591
2010-01-10 22:00,24004,92.602,92.666,91.818,92.091
2010-01-11 22:00,37154,92.074,92.432,90.728,90.977
2010-01-12 22:00,29865,90.981,91.560,90.906,91.377
2010-01-13 22:00,30276,91.367,92.042,90.842,91.209
2010-01-14 22:00,31687,91.213,91.322,90.608,90.773
2010-01-16 22:00,531,90.773,90.950,90.726,90.773
2010-01-17 22:00,18642,90.769,91.064,90.626,90.780
2010-01-18 22:00,30271,90.784,91.266,90.312,91.148
2010-01-19 22:00,28675,91.140,91.462,90.790,91.237
2010-01-20 22:00,39893,91.231,91.874,90.115,90.437
2010-01-21 22:00,46276,90.439,90.570,89.790,89.828
2010-01-22 22:00,2,89.826,89.830,89.826,89.830
2010-01-23 22:00,2205,89.881,90.390,89.728,90.260
2010-01-24 22:00,27844,90.248,90.340,89.820,90.281
2010-01-25 22:00,45487,90.279,90.548,89.346,89.657
2010-01-26 22:00,37416,89.645,90.086,89.138,90.006
2010-01-27 22:00,34533,89.995,90.550,89.628,89.916
2010-01-28 22:00,37998,89.909,90.922,89.588,90.266
2010-01-29 22:00,2,90.273,90.273,90.273,90.273
2010-01-30 22:00,2128,90.158,90.220,89.785,89.906
2010-01-31 22:00,26893,89.882,90.950,89.880,90.615
2010-01-31 22:00,26893,89.882,90.950,89.880,90.615
2010-02-01 22:00,25354,90.619,90.917,90.270,90.386
2010-02-02 22:00,28319,90.389,91.280,90.078,90.977
2010-02-03 22:00,37402,90.984,91.076,88.554,89.043
2010-02-04 22:00,53859,89.035,89.893,88.826,89.249
2010-02-05 22:00,2,89.244,89.244,89.244,89.244
2010-02-06 22:00,1176,89.244,89.532,89.122,89.506
2010-02-07 22:00,28630,89.502,89.564,89.137,89.258
2010-02-08 22:00,33966,89.265,89.809,89.166,89.690
2010-02-09 22:00,34062,89.687,90.064,89.246,89.943
2010-02-10 22:00,26684,89.946,90.146,89.572,89.763
2010-02-11 22:00,32532,89.766,90.422,89.592,89.954
2010-02-12 22:00,5,89.946,89.952,89.930,89.930
2010-02-13 22:00,562,89.980,90.198,89.922,90.125
2010-02-14 22:00,14346,90.117,90.234,89.916,90.009
2010-02-15 22:00,22219,90.002,90.516,89.709,90.144
2010-02-16 22:00,28917,90.148,91.386,90.137,91.257
2010-02-17 22:00,30939,91.252,91.827,90.568,91.813
2010-02-18 22:00,31409,91.822,92.142,91.491,91.513
2010-02-19 22:00,1,91.519,91.519,91.519,91.519
2010-02-20 22:00,939,91.530,91.551,91.423,91.464
2010-02-21 22:00,22951,91.444,91.904,91.026,91.141
2010-02-22 22:00,28450,91.137,91.292,89.928,90.217
2010-02-23 22:00,23355,90.207,90.360,89.769,90.148
2010-02-24 22:00,36347,90.152,90.322,88.805,89.078
2010-02-25 22:00,26900,89.067,89.503,88.746,88.970
2010-02-26 22:00,1,88.946,88.946,88.946,88.946
2010-02-27 22:00,629,88.891,88.925,88.735,88.860
2010-02-28 22:00,23367,88.868,89.480,88.815,89.124
2010-02-28 22:00,23367,88.868,89.480,88.815,89.124
2010-03-01 22:00,24742,89.130,89.372,88.560,88.855
2010-03-02 22:00,28415,88.853,88.990,88.322,88.465
2010-03-03 22:00,27969,88.468,89.258,88.140,89.020
2010-03-04 22:00,26535,89.034,90.591,88.981,90.282
2010-03-05 22:00,8,90.278,90.278,90.225,90.225
2010-03-06 22:00,727,90.305,90.484,90.290,90.464
2010-03-07 22:00,23029,90.458,90.683,90.152,90.305
2010-03-08 22:00,24141,90.308,90.332,89.634,89.965
2010-03-09 22:00,21440,89.959,90.820,89.847,90.512
2010-03-10 22:00,20570,90.515,90.709,90.208,90.507
2010-03-11 22:00,25684,90.504,91.086,90.174,90.557
2010-03-12 22:00,1,90.560,90.560,90.560,90.560
2010-03-13 22:00,1033,90.636,90.961,90.626,90.839
2010-03-14 21:00,18831,90.836,90.836,90.354,90.526
2010-03-15 21:00,26821,90.532,90.732,89.983,90.303
2010-03-16 21:00,25783,90.306,90.714,90.030,90.302
2010-03-17 21:00,29347,90.309,90.808,89.760,90.382
2010-03-18 21:00,18528,90.390,90.712,90.336,90.546
2010-03-19 21:00,2,90.553,90.563,90.553,90.563
2010-03-20 21:00,213,90.542,90.542,90.329,90.500
2010-03-21 21:00,18438,90.505,90.770,89.824,90.139
2010-03-22 21:00,18601,90.142,90.480,90.062,90.401
2010-03-23 21:00,32703,90.403,92.409,90.350,92.309
2010-03-24 21:00,33080,92.311,92.954,91.768,92.733
2010-03-25 21:00,24682,92.727,92.892,92.312,92.515
2010-03-26 21:00,1,92.520,92.520,92.520,92.520
2010-03-27 21:00,1697,92.541,92.541,92.065,92.467
2010-03-28 21:00,22621,92.445,92.784,92.350,92.466
2010-03-29 21:00,27872,92.458,93.024,92.126,92.762
2010-03-30 21:00,37830,92.765,93.636,92.754,93.459
2010-03-31 21:00,26156,93.462,94.040,93.284,93.823
2010-03-31 21:00,26156,93.462,94.040,93.284,93.823
2010-04-01 21:00,18894,93.826,94.694,93.607,94.610
2010-04-03 21:00,545,94.610,94.688,94.374,94.674
2010-04-04 21:00,15015,94.681,94.787,94.086,94.367
2010-04-05 21:00,27397,94.374,94.382,93.668,93.793
2010-04-06 21:00,27308,93.791,94.266,93.152,93.353
2010-04-07 21:00,27753,93.335,93.487,92.834,93.382
2010-04-08 21:00,21531,93.385,93.793,93.115,93.180
2010-04-09 21:00,1,93.185,93.185,93.185,93.185
2010-04-10 21:00,2611,93.181,93.181,92.912,92.975
2010-04-11 21:00,22816,92.978,93.604,92.902,93.237
2010-04-12 21:00,28425,93.234,93.408,92.571,93.201
2010-04-13 21:00,26742,93.203,93.726,92.830,93.227
2010-04-14 21:00,23973,93.235,93.524,92.870,93.030
2010-04-15 21:00,34745,93.042,93.146,91.906,92.176
2010-04-17 21:00,1096,92.133,92.144,91.828,91.864
2010-04-18 21:00,28135,91.868,92.468,91.596,92.398
2010-04-19 21:00,24002,92.416,93.392,92.395,93.218
2010-04-20 21:00,26508,93.215,93.444,92.936,93.186
2010-04-21 21:00,31137,93.192,93.614,92.742,93.487
2010-04-22 21:00,29760,93.484,94.331,93.308,93.968
2010-04-23 21:00,1,93.973,93.973,93.973,93.973
2010-04-24 21:00,706,94.025,94.066,93.877,94.004
2010-04-25 21:00,24726,94.001,94.358,93.926,93.960
2010-04-26 21:00,35951,93.954,94.037,92.820,93.262
2010-04-27 21:00,38435,93.265,94.322,92.998,94.032
2010-04-28 21:00,21090,94.039,94.264,93.848,94.035
2010-04-29 21:00,29911,94.047,94.582,93.837,93.853
2010-04-30 21:00,2,93.850,93.850,93.835,93.835
2010-04-30 21:00,2,93.850,93.850,93.835,93.835
2010-05-01 21:00,1140,93.834,93.935,93.590,93.870
2010-05-02 21:00,17540,93.875,94.786,93.846,94.535
2010-05-03 21:00,29004,94.538,94.986,94.328,94.537
2010-05-04 21:00,39770,94.558,94.986,93.540,93.811
2010-05-05 21:00,91294,93.829,93.984,88.010,90.553
2010-05-06 21:00,124792,90.571,93.233,90.012,91.597
2010-05-07 21:00,3,91.604,91.604,91.525,91.525
2010-05-08 21:00,3031,91.525,92.630,91.425,92.434
