Datetime,Volume,Open,High,Low,Close
2020-01-01 22:00,143,108.651,108.761,108.636,108.686
2020-01-01 23:00,268,108.683,108.726,108.607,108.726
2020-01-02 00:00,188,108.722,108.735,108.682,108.702
2020-01-02 01:00,321,108.704,108.730,108.638,108.673
2020-01-02 02:00,186,108.671,108.688,108.658,108.679
2020-01-02 03:00,104,108.682,108.712,108.674,108.708
2020-01-02 04:00,131,108.706,108.744,108.701,108.744
2020-01-02 05:00,158,108.742,108.758,108.734,108.742
2020-01-02 06:00,107,108.744,108.750,108.712,108.712
2020-01-02 07:00,417,108.710,108.800,108.696,108.784
2020-01-02 08:00,561,108.782,108.820,108.766,108.780
2020-01-02 09:00,333,108.783,108.842,108.776,108.839
2020-01-02 10:00,301,108.836,108.866,108.793,108.807
2020-01-02 11:00,225,108.804,108.812,108.772,108.772
2020-01-02 12:00,213,108.774,108.807,108.756,108.788
2020-01-02 13:00,395,108.786,108.790,108.658,108.694
2020-01-02 14:00,646,108.697,108.748,108.637,108.675
2020-01-02 15:00,1442,108.672,108.681,108.212,108.274
2020-01-02 16:00,674,108.270,108.444,108.261,108.434
2020-01-02 17:00,511,108.436,108.554,108.432,108.529
2020-01-02 18:00,324,108.526,108.559,108.498,108.524
2020-01-02 19:00,306,108.522,108.572,108.512,108.550
2020-01-02 20:00,264,108.552,108.560,108.494,108.557
2020-01-02 21:00,135,108.554,108.568,108.528,108.561
2020-01-02 22:00,118,108.568,108.570,108.516,108.549
2020-01-02 23:00,173,108.546,108.630,108.544,108.546
2020-01-03 00:00,457,108.544,108.564,108.392,108.405
2020-01-03 01:00,923,108.408,108.441,108.168,108.204
2020-01-03 02:00,1939,108.202,108.244,108.002,108.060
2020-01-03 03:00,982,108.058,108.186,108.004,108.182
2020-01-03 04:00,582,108.185,108.232,108.126,108.133
2020-01-03 05:00,727,108.135,108.164,108.080,108.123
2020-01-03 06:00,375,108.126,108.152,108.082,108.143
2020-01-03 07:00,1390,108.140,108.140,107.916,107.948
2020-01-03 08:00,1214,107.946,108.073,107.932,107.992
2020-01-03 09:00,897,107.990,108.069,107.923,108.068
2020-01-03 10:00,1104,108.071,108.130,108.016,108.052
2020-01-03 11:00,794,108.050,108.118,107.999,108.028
2020-01-03 12:00,750,108.032,108.156,108.023,108.085
2020-01-03 13:00,797,108.088,108.164,108.088,108.158
2020-01-03 14:00,1227,108.156,108.268,108.145,108.229
2020-01-03 15:00,2411,108.224,108.224,107.999,108.040
2020-01-03 16:00,928,108.037,108.037,107.916,107.947
2020-01-03 17:00,473,107.945,107.989,107.936,107.968
2020-01-03 18:00,1534,107.966,108.076,107.842,108.050
2020-01-03 19:00,773,108.052,108.090,108.012,108.012
2020-01-03 20:00,460,108.014,108.119,108.014,108.094
2020-01-03 21:00,213,108.092,108.126,108.089,108.110
2020-01-05 22:00,317,107.879,107.938,107.806,107.806
2020-01-05 23:00,1731,107.802,107.980,107.772,107.969
2020-01-06 00:00,1601,107.972,108.122,107.948,108.067
2020-01-06 01:00,915,108.070,108.084,107.916,107.948
2020-01-06 02:00,563,107.950,108.057,107.932,108.033
2020-01-06 03:00,322,108.030,108.076,108.010,108.056
2020-01-06 04:00,378,108.058,108.104,108.034,108.062
2020-01-06 05:00,263,108.064,108.074,108.034,108.058
2020-01-06 06:00,563,108.060,108.072,107.972,108.053
2020-01-06 07:00,822,108.056,108.179,108.029,108.102
2020-01-06 08:00,1020,108.104,108.135,107.952,107.978
2020-01-06 09:00,684,107.976,108.036,107.926,107.986
2020-01-06 10:00,444,107.988,108.036,107.982,108.002
2020-01-06 11:00,423,108.004,108.082,107.991,108.062
2020-01-06 12:00,413,108.065,108.164,108.045,108.159
2020-01-06 13:00,505,108.157,108.162,108.073,108.120
2020-01-06 14:00,863,108.118,108.152,108.065,108.141
2020-01-06 15:00,1331,108.143,108.364,108.107,108.320
2020-01-06 16:00,752,108.322,108.416,108.292,108.372
2020-01-06 17:00,303,108.369,108.399,108.348,108.348
2020-01-06 18:00,259,108.351,108.394,108.342,108.369
2020-01-06 19:00,310,108.366,108.506,108.355,108.456
2020-01-06 20:00,266,108.454,108.460,108.420,108.440
2020-01-06 21:00,147,108.442,108.447,108.369,108.372
2020-01-06 22:00,92,108.353,108.380,108.330,108.377
2020-01-06 23:00,343,108.374,108.419,108.370,108.412
2020-01-07 00:00,719,108.409,108.454,108.379,108.426
2020-01-07 01:00,568,108.428,108.461,108.378,108.434
2020-01-07 02:00,372,108.431,108.482,108.423,108.474
2020-01-07 03:00,317,108.478,108.497,108.446,108.473
2020-01-07 04:00,241,108.470,108.504,108.460,108.499
2020-01-07 05:00,276,108.501,108.506,108.434,108.436
2020-01-07 06:00,878,108.438,108.454,108.343,108.446
2020-01-07 07:00,1014,108.444,108.444,108.262,108.319
2020-01-07 08:00,1065,108.322,108.500,108.312,108.453
2020-01-07 09:00,518,108.456,108.484,108.412,108.468
2020-01-07 10:00,653,108.466,108.483,108.368,108.413
2020-01-07 11:00,393,108.416,108.426,108.378,108.396
2020-01-07 12:00,350,108.399,108.428,108.380,108.426
2020-01-07 13:00,630,108.428,108.478,108.419,108.438
2020-01-07 14:00,1070,108.441,108.482,108.320,108.426
2020-01-07 15:00,1855,108.428,108.630,108.417,108.607
2020-01-07 16:00,606,108.610,108.627,108.529,108.536
2020-01-07 17:00,337,108.538,108.554,108.512,108.546
2020-01-07 18:00,244,108.549,108.568,108.511,108.542
2020-01-07 19:00,386,108.544,108.594,108.523,108.530
2020-01-07 20:00,177,108.532,108.558,108.528,108.556
2020-01-07 21:00,664,108.553,108.562,108.354,108.460
2020-01-07 22:00,536,108.455,108.522,108.426,108.460
2020-01-07 23:00,4068,108.457,108.475,107.832,107.996
2020-01-08 00:00,6099,107.999,108.070,107.650,107.866
2020-01-08 01:00,4111,107.864,108.137,107.810,108.033
2020-01-08 02:00,4340,108.030,108.461,108.007,108.392
2020-01-08 03:00,2384,108.394,108.408,108.164,108.364
2020-01-08 04:00,681,108.361,108.400,108.277,108.314
2020-01-08 05:00,978,108.316,108.382,108.290,108.305
2020-01-08 06:00,830,108.308,108.412,108.276,108.378
2020-01-08 07:00,1273,108.380,108.468,108.380,108.422
2020-01-08 08:00,1752,108.425,108.489,108.396,108.453
2020-01-08 09:00,563,108.451,108.482,108.422,108.449
2020-01-08 10:00,1024,108.446,108.766,108.424,108.678
2020-01-08 11:00,967,108.676,108.774,108.615,108.722
2020-01-08 12:00,754,108.725,108.787,108.656,108.762
2020-01-08 13:00,1119,108.759,108.816,108.670,108.670
2020-01-08 14:00,1279,108.673,108.746,108.632,108.692
2020-01-08 15:00,994,108.695,108.744,108.616,108.626
2020-01-08 16:00,3335,108.628,109.100,108.626,109.036
2020-01-08 17:00,1230,109.038,109.134,109.014,109.096
2020-01-08 18:00,640,109.099,109.172,109.099,109.136
2020-01-08 19:00,383,109.140,109.246,109.140,109.232
2020-01-08 20:00,1492,109.230,109.230,109.000,109.038
2020-01-08 21:00,479,109.040,109.172,109.020,109.134
2020-01-08 22:00,307,109.092,109.136,109.052,109.077
2020-01-08 23:00,397,109.074,109.124,109.014,109.038
2020-01-09 00:00,925,109.040,109.244,109.031,109.186
2020-01-09 01:00,673,109.184,109.256,109.182,109.238
2020-01-09 02:00,416,109.236,109.236,109.180,109.198
2020-01-09 03:00,370,109.200,109.204,109.150,109.192
2020-01-09 04:00,260,109.190,109.224,109.185,109.216
2020-01-09 05:00,234,109.213,109.284,109.208,109.275
2020-01-09 06:00,485,109.278,109.324,109.261,109.284
2020-01-09 07:00,782,109.286,109.364,109.252,109.358
2020-01-09 08:00,1151,109.356,109.374,109.276,109.338
2020-01-09 09:00,664,109.336,109.434,109.328,109.434
2020-01-09 10:00,523,109.432,109.455,109.402,109.440
2020-01-09 11:00,305,109.442,109.489,109.420,109.451
2020-01-09 12:00,1036,109.453,109.458,109.317,109.356
2020-01-09 13:00,645,109.354,109.462,109.354,109.432
2020-01-09 14:00,992,109.430,109.516,109.429,109.488
2020-01-09 15:00,755,109.486,109.580,109.462,109.540
2020-01-09 16:00,671,109.542,109.560,109.470,109.476
2020-01-09 17:00,411,109.479,109.515,109.444,109.512
2020-01-09 18:00,904,109.510,109.510,109.392,109.454
2020-01-09 19:00,358,109.456,109.518,109.452,109.511
2020-01-09 20:00,305,109.508,109.538,109.496,109.500
2020-01-09 21:00,140,109.498,109.526,109.492,109.524
2020-01-09 22:00,288,109.517,109.555,109.456,109.480
2020-01-09 23:00,217,109.478,109.528,109.474,109.498
2020-01-10 00:00,1142,109.500,109.580,109.460,109.490
2020-01-10 01:00,439,109.488,109.546,109.480,109.543
2020-01-10 02:00,208,109.546,109.548,109.508,109.540
2020-01-10 03:00,144,109.537,109.543,109.520,109.530
2020-01-10 04:00,158,109.534,109.550,109.529,109.550
2020-01-10 05:00,199,109.547,109.606,109.541,109.563
2020-01-10 06:00,212,109.566,109.599,109.554,109.568
2020-01-10 07:00,247,109.566,109.594,109.565,109.574
2020-01-10 08:00,214,109.571,109.593,109.558,109.578
2020-01-10 09:00,212,109.576,109.649,109.566,109.640
2020-01-10 10:00,208,109.643,109.654,109.613,109.613
2020-01-10 11:00,154,109.611,109.643,109.597,109.622
2020-01-10 12:00,152,109.619,109.641,109.608,109.638
2020-01-10 13:00,1380,109.636,109.688,109.504,109.652
2020-01-10 14:00,870,109.654,109.688,109.510,109.592
2020-01-10 15:00,670,109.590,109.638,109.547,109.561
2020-01-10 16:00,581,109.564,109.574,109.450,109.504
2020-01-10 17:00,381,109.502,109.504,109.433,109.479
2020-01-10 18:00,163,109.482,109.540,109.482,109.536
2020-01-10 19:00,183,109.538,109.556,109.512,109.522
2020-01-10 20:00,255,109.520,109.533,109.484,109.506
2020-01-10 21:00,162,109.504,109.513,109.463,109.471
2020-01-12 22:00,177,109.528,109.540,109.512,109.538
2020-01-12 23:00,953,109.540,109.596,109.534,109.554
2020-01-13 00:00,948,109.552,109.600,109.535,109.589
2020-01-13 01:00,1218,109.590,109.636,109.588,109.602
2020-01-13 02:00,793,109.601,109.636,109.586,109.628
2020-01-13 03:00,547,109.627,109.628,109.598,109.614
2020-01-13 04:00,382,109.612,109.632,109.612,109.630
2020-01-13 05:00,568,109.628,109.649,109.623,109.637
2020-01-13 06:00,547,109.638,109.648,109.622,109.625
2020-01-13 07:00,1378,109.626,109.644,109.619,109.629
2020-01-13 08:00,2050,109.628,109.700,109.618,109.690
2020-01-13 09:00,3401,109.691,109.882,109.682,109.850
2020-01-13 10:00,2116,109.848,109.924,109.833,109.892
2020-01-13 11:00,1378,109.891,109.903,109.835,109.848
2020-01-13 12:00,1126,109.850,109.904,109.846,109.888
2020-01-13 13:00,1672,109.890,109.914,109.828,109.849
2020-01-13 14:00,2898,109.848,109.906,109.800,109.888
2020-01-13 15:00,2721,109.890,109.940,109.866,109.922
2020-01-13 16:00,2904,109.924,109.940,109.846,109.938
2020-01-13 17:00,1463,109.936,109.946,109.908,109.918
2020-01-13 18:00,910,109.917,109.924,109.900,109.919
2020-01-13 19:00,904,109.917,109.947,109.905,109.924
2020-01-13 20:00,896,109.926,109.930,109.892,109.927
2020-01-13 21:00,769,109.928,109.947,109.920,109.944
2020-01-13 22:00,88,109.946,109.946,109.916,109.936
2020-01-13 23:00,1407,109.935,110.030,109.915,110.011
2020-01-14 00:00,3891,110.012,110.214,110.000,110.157
2020-01-14 01:00,3661,110.156,110.176,109.998,110.066
2020-01-14 02:00,1817,110.068,110.107,110.016,110.082
2020-01-14 03:00,1322,110.083,110.093,110.044,110.078
2020-01-14 04:00,1006,110.079,110.099,110.044,110.070
2020-01-14 05:00,1059,110.068,110.110,110.052,110.060
2020-01-14 06:00,1287,110.061,110.134,110.058,110.118
2020-01-14 07:00,2487,110.117,110.124,109.966,109.981
2020-01-14 08:00,3309,109.982,110.030,109.885,109.978
2020-01-14 09:00,1967,109.978,110.056,109.966,110.020
2020-01-14 10:00,1590,110.020,110.067,109.997,110.049
2020-01-14 11:00,2353,110.048,110.052,109.948,109.976
2020-01-14 12:00,1463,109.977,110.060,109.962,110.056
