Datetime,Volume,Open,High,Low,Close,Rate
2019-09-16 06:00,145,7.348,7.361,7.348,7.361,0.0017691888949373845
2019-09-16 07:00,359,7.359,7.377,7.359,7.372,0.001766544367441215
2019-09-16 08:00,119,7.368,7.368,7.360,7.361,-0.0009500542888165799
2019-09-16 09:00,177,7.361,7.361,7.324,7.34,-0.0028528732509169826
2019-09-16 10:00,185,7.342,7.360,7.337,7.36,0.0024516480523019183
2019-09-16 11:00,102,7.356,7.360,7.348,7.354,-0.00027188689505162856
2019-09-16 12:00,80,7.355,7.366,7.355,7.366,0.0014955812372534647
2019-09-16 13:00,55,7.366,7.368,7.362,7.366,0.0
2019-09-16 14:00,167,7.366,7.374,7.366,7.369,0.0004072766766223342
2019-09-16 15:00,396,7.368,7.373,7.330,7.344,-0.0032573289902280158
2019-09-16 16:00,179,7.346,7.370,7.346,7.359,0.0017696705690171386
2019-09-16 17:00,117,7.358,7.376,7.356,7.368,0.0013590649633053377
2019-09-16 18:00,143,7.37,7.370,7.345,7.348,-0.002985074626865704
2019-09-16 19:00,81,7.35,7.356,7.342,7.342,-0.001088435374149661
2019-09-16 20:00,189,7.344,7.354,7.334,7.35,0.0008169934640521976
2019-09-16 21:00,136,7.349,7.368,7.348,7.35,0.00013607293509313454
2019-09-16 22:00,179,7.353,7.356,7.334,7.344,-0.001223990208078261
2019-09-16 23:00,497,7.345,7.407,7.342,7.404,0.00803267528931248
2019-09-17 00:00,305,7.404,7.404,7.382,7.382,-0.0029713668287412536
2019-09-17 01:00,163,7.383,7.394,7.368,7.37,-0.0017608018420696059
2019-09-17 02:00,166,7.37,7.377,7.358,7.365,-0.0006784260515603654
2019-09-17 03:00,110,7.363,7.375,7.363,7.37,0.0009506994431617103
2019-09-17 04:00,190,7.371,7.375,7.363,7.374,0.0004070004070003019
2019-09-17 05:00,74,7.374,7.377,7.372,7.376,0.00027122321670744074
2019-09-17 06:00,381,7.377,7.378,7.370,7.372,-0.0006777822963264055
2019-09-17 07:00,434,7.372,7.376,7.371,7.374,0.0002712967986977455
2019-09-17 08:00,249,7.375,7.382,7.374,7.374,-0.00013559322033902834
2019-09-17 09:00,182,7.372,7.380,7.360,7.376,0.0005425935973956115
2019-09-17 10:00,228,7.376,7.384,7.366,7.366,-0.0013557483731020438
2019-09-17 11:00,41,7.366,7.366,7.358,7.366,0.0
2019-09-17 12:00,24,7.363,7.366,7.353,7.355,-0.0010865136493277206
2019-09-17 13:00,21,7.354,7.366,7.354,7.364,0.0013598041881968707
2019-09-17 14:00,112,7.362,7.368,7.360,7.368,0.0008149959250204058
2019-09-17 15:00,357,7.368,7.372,7.340,7.347,-0.002850162866449499
2019-09-17 16:00,266,7.344,7.356,7.327,7.334,-0.001361655773420571
2019-09-17 17:00,222,7.334,7.351,7.315,7.316,-0.0024543223343332144
2019-09-17 18:00,69,7.316,7.316,7.302,7.304,-0.0016402405686166712
2019-09-17 19:00,145,7.308,7.323,7.308,7.318,0.0013683634373289255
2019-09-17 20:00,146,7.316,7.336,7.316,7.33,0.0019136139967195509
2019-09-17 21:00,270,7.328,7.328,7.302,7.307,-0.0028657205240174544
2019-09-17 22:00,649,7.304,7.360,7.290,7.343,0.005339539978094154
2019-09-17 23:00,353,7.345,7.354,7.328,7.35,0.0006807351940095158
2019-09-18 00:00,504,7.349,7.352,7.319,7.33,-0.0025853857667710064
2019-09-18 01:00,105,7.33,7.336,7.321,7.326,-0.0005457025920873735
2019-09-18 02:00,161,7.326,7.349,7.323,7.348,0.003003003003003036
2019-09-18 03:00,206,7.345,7.356,7.340,7.355,0.0013614703880191524
2019-09-18 04:00,53,7.356,7.363,7.350,7.36,0.0005437737901033779
2019-09-18 05:00,91,7.36,7.360,7.354,7.354,-0.0008152173913043787
2019-09-18 06:00,517,7.354,7.356,7.352,7.352,-0.00027196083763935
2019-09-18 07:00,161,7.353,7.359,7.348,7.348,-0.0006799945600435052
2019-09-18 08:00,433,7.349,7.351,7.347,7.35,0.00013607293509313454
2019-09-18 09:00,208,7.35,7.356,7.350,7.355,0.0006802721088436438
2019-09-18 10:00,70,7.354,7.360,7.354,7.36,0.0008158825129181707
2019-09-18 11:00,21,7.36,7.362,7.358,7.362,0.0002717391304347527
