Datetime,Volume,Open,High,Low,Close,Rate
2010-09-09 06:00,42747,77.019,77.682,76.920,77.329,0.00402498084888129
2010-09-10 06:00,41873,77.327,78.094,77.278,77.968,0.008289471982619336
2010-09-11 06:00,11,77.975,77.975,77.920,77.932,-0.0005514588008976231
2010-09-12 06:00,2323,78.175,78.532,78.175,78.309,0.0017141029740965826
2010-09-13 06:00,35718,78.313,78.522,77.970,78.344,0.0003958474327377536
2010-09-14 06:00,49318,78.354,78.514,77.461,78.025,-0.004198892207162283
2010-09-15 06:00,71331,78.028,80.638,77.918,80.437,0.0308735325780488
2010-09-16 06:00,49372,80.435,80.540,79.590,80.357,-0.0009697271088456885
2010-09-17 06:00,46824,80.359,81.306,80.206,80.371,0.00014932988215384034
2010-09-18 06:00,2,80.375,80.393,80.375,80.393,0.00022395023328150148
2010-09-19 06:00,814,80.402,80.459,80.212,80.422,0.0002487500310937044
2010-09-20 06:00,30521,80.425,81.425,80.242,81.173,0.009300590612371833
2010-09-21 06:00,46745,81.17,81.362,80.568,81.267,0.0011950227916717284
2010-09-22 06:00,50057,81.263,81.304,80.286,80.813,-0.005537575526377353
2010-09-23 06:00,47847,80.816,80.966,79.828,80.08,-0.009107107503464712
2010-09-24 06:00,54547,80.074,81.124,79.986,80.761,0.008579563903389336
2010-09-26 06:00,848,80.756,81.166,80.723,80.996,0.0029719153994748984
2010-09-27 06:00,39838,80.983,81.258,80.644,81.005,0.00027166195374327156
2010-09-28 06:00,46716,81.007,81.268,80.462,81.146,0.0017159010949670496
2010-09-29 06:00,44467,81.135,81.380,80.948,81.164,0.00035742897639731757
2010-09-30 06:00,58616,81.156,81.370,80.426,80.77,-0.004756271871457562
2010-10-01 06:00,46726,80.776,81.148,80.490,80.95,0.002154105179756445
2010-10-02 06:00,1,80.954,80.954,80.954,80.954,0.0
2010-10-03 06:00,952,80.935,81.090,80.900,80.992,0.0007042688577253618
2010-10-04 06:00,41278,80.989,81.284,80.334,80.714,-0.0033955228487820032
2010-10-05 06:00,57200,80.711,80.928,79.814,80.873,0.002007161353471102
2010-10-06 06:00,44175,80.875,81.228,80.624,81.065,0.0023493044822256288
2010-10-07 06:00,51871,81.06,81.826,80.660,80.969,-0.0011226252158895655
2010-10-08 06:00,54545,80.961,81.034,79.674,80.684,-0.0034214004273662754
2010-10-09 06:00,1,80.689,80.689,80.689,80.689,0.0
2010-10-10 06:00,1502,80.546,81.403,80.416,81.101,0.006890472525016668
2010-10-11 06:00,33117,81.106,81.126,80.558,80.74,-0.004512613123566687
2010-10-12 06:00,49442,80.738,80.900,79.990,80.595,-0.001771161039411438
2010-10-13 06:00,40291,80.601,81.290,80.522,81.026,0.005272887433158362
2010-10-14 06:00,51680,81.02,81.356,80.610,81.007,-0.00016045420883721326
2010-10-15 06:00,54648,81.02,81.029,80.258,80.701,-0.003937299432238986
2010-10-17 06:00,2635,80.675,80.945,80.490,80.805,0.0016114037806012973
2010-10-18 06:00,45427,80.798,80.801,79.652,80.369,-0.005309537364786282
2010-10-19 06:00,64177,80.366,80.864,78.788,79.025,-0.01668616081427462
2010-10-20 06:00,55743,79.027,80.176,78.700,80.045,0.012881673352145477
2010-10-21 06:00,62326,80.038,80.314,79.200,79.481,-0.00695919438266826
2010-10-22 06:00,41580,79.483,80.004,79.330,79.966,0.006076771133449793
2010-10-23 06:00,1,79.994,79.994,79.994,79.994,0.0
2010-10-24 06:00,1285,80.089,80.311,79.816,80.252,0.0020352358001722672
2010-10-25 06:00,47189,80.262,80.570,79.916,80.048,-0.0026662679723904043
2010-10-26 06:00,52391,80.043,80.356,79.885,80.243,0.0024986569718774736
2010-10-27 06:00,63679,80.247,80.341,78.912,79.469,-0.009695066482236168
2010-10-28 06:00,49314,79.48,79.750,79.036,79.316,-0.0020634121791645883
2010-10-29 06:00,53878,79.32,79.350,78.188,79.084,-0.002975289964699824
2010-10-30 06:00,5,79.067,79.088,79.067,79.075,0.00010118001188877506
2010-10-31 06:00,1330,79.024,79.167,78.818,79.131,0.001354019032192743
2010-11-01 06:00,44545,79.128,80.180,79.043,79.461,0.004208371246587787
2010-11-02 06:00,45513,79.465,81.014,79.431,80.581,0.014043918706348702
2010-11-03 06:00,56751,80.584,81.622,80.324,81.581,0.01237218306363546
2010-11-04 06:00,53633,81.575,82.164,81.038,81.945,0.004535703340484099
2010-11-05 06:00,57075,81.947,82.658,81.462,82.552,0.007382820603560886
2010-11-06 06:00,1,82.557,82.557,82.557,82.557,0.0
2010-11-07 06:00,1215,82.512,82.552,82.365,82.494,-0.00021815008726004318
2010-11-08 07:00,47295,82.475,82.563,81.764,82.28,-0.002364352834192097
2010-11-09 07:00,63520,82.278,82.396,81.416,81.985,-0.00356109774180226
2010-11-10 07:00,75237,81.983,82.854,81.758,82.716,0.0089408779868996
2010-11-11 07:00,53696,82.684,82.888,82.122,82.31,-0.004523245126021905
2010-11-12 07:00,73014,82.314,82.404,80.348,81.259,-0.012816774789221672
2010-11-13 07:00,1,81.238,81.238,81.238,81.238,0.0
2010-11-14 07:00,1912,81.21,81.606,81.170,81.603,0.004839305504248254
2010-11-15 07:00,61714,81.608,82.152,81.196,81.855,0.003026664052543867
2010-11-16 07:00,70864,81.863,82.026,81.156,81.346,-0.006315429436986134
2010-11-17 07:00,52579,81.349,81.716,81.152,81.496,0.001807028973927047
2010-11-18 07:00,50922,81.472,82.782,81.423,82.684,0.014876276512176004
2010-11-19 07:00,46037,82.66,82.814,81.716,82.409,-0.0030365352044518577
2010-11-20 07:00,1,82.407,82.407,82.407,82.407,0.0
2010-11-21 07:00,1926,82.612,82.612,82.197,82.443,-0.0020457076453783583
2010-11-22 07:00,51877,82.449,83.004,81.953,82.372,-0.0009339106599230819
2010-11-23 07:00,76287,82.376,82.419,80.459,80.831,-0.018755462756142587
2010-11-24 07:00,67786,80.833,82.148,80.789,82.007,0.014523771232046399
2010-11-25 07:00,38984,81.997,82.297,81.486,81.999,2.4391136261025877e-05
2010-11-26 07:00,60881,82.003,82.061,80.565,81.117,-0.010804482762825697
2010-11-27 07:00,4,81.124,81.124,81.055,81.055,-0.0008505497756519453
2010-11-28 07:00,2620,81.105,81.479,81.075,81.392,0.003538622772948547
2010-11-29 07:00,62497,81.388,81.478,80.644,81.15,-0.0029242640192657337
2010-11-30 07:00,74975,81.153,81.380,79.844,80.234,-0.01132428868926609
2010-12-01 07:00,70453,80.241,81.664,79.756,81.527,0.016026719507483723
2010-12-02 07:00,55301,81.53,81.942,80.938,81.895,0.00447687967619275
2010-12-03 07:00,54500,81.881,82.290,81.138,81.963,0.0010014533286109553
2010-12-04 07:00,2,81.968,81.975,81.968,81.975,8.539918016775805e-05
2010-12-05 07:00,895,81.829,82.084,81.730,81.83,1.222060638654725e-05
2010-12-06 07:00,47784,81.845,82.170,81.512,81.823,-0.00026880078196597925
2010-12-07 07:00,56660,81.792,82.472,81.412,82.066,0.003349960876369338
2010-12-08 07:00,62401,82.042,82.628,81.992,82.311,0.003278808415202036
2010-12-09 07:00,53280,82.303,82.812,82.142,82.377,0.0008991166786143648
2010-12-10 07:00,41391,82.384,82.826,82.226,82.722,0.0041027383958049364
2010-12-12 07:00,860,82.679,82.739,82.515,82.657,-0.0002660893334462871
2010-12-13 07:00,42594,82.674,83.338,82.595,83.072,0.0048140890727435
2010-12-14 07:00,47706,83.07,83.686,82.886,83.576,0.006091248344769475
2010-12-15 07:00,55863,83.572,83.607,82.995,83.15,-0.005049538122816219
2010-12-16 07:00,50912,83.152,83.270,82.957,83.087,-0.0007817009813353584
2010-12-17 07:00,41770,83.091,83.272,82.755,82.983,-0.0012997797595406227
2010-12-18 07:00,1,82.965,82.965,82.965,82.965,0.0
2010-12-19 07:00,974,83.031,83.146,82.806,83.001,-0.00036131083571197667
2010-12-20 07:00,38533,83.007,83.356,82.740,83.228,0.0026624260604526055
2010-12-21 07:00,32250,83.223,83.590,83.082,83.565,0.004109440899751256
2010-12-22 07:00,34875,83.556,83.646,83.283,83.43,-0.0015079707022833857
2010-12-23 07:00,28674,83.428,83.540,83.132,83.263,-0.0019777532722825915
2010-12-24 07:00,20403,83.258,83.438,83.164,83.279,0.00025222801412477834
2010-12-25 07:00,2,83.284,83.294,83.284,83.294,0.0001200710820804825
2010-12-26 07:00,1030,83.294,83.294,82.755,82.838,-0.0054745840036497595
2010-12-27 07:00,21098,82.828,83.250,82.810,83.198,0.004467088424204259
2010-12-28 07:00,33741,83.183,83.357,82.984,83.211,0.00033660723945988464
2010-12-29 07:00,29799,83.215,83.274,82.986,83.036,-0.002151054497386313
2010-12-30 07:00,29682,83.046,83.124,82.648,82.93,-0.0013968162223346055
2010-12-31 07:00,23159,82.941,83.210,82.656,83.016,0.0009042572431005515
2011-01-01 07:00,4,83.006,83.079,83.006,83.069,0.0007589812784618267
2011-01-02 07:00,986,83.0,83.332,82.800,82.875,-0.0015060240963855422
2011-01-03 07:00,27282,82.877,83.274,82.698,83.104,0.0027389987571944433
2011-01-04 07:00,53468,83.102,83.148,81.977,82.453,-0.007809679670766057
2011-01-05 07:00,59635,82.459,83.380,81.956,83.213,0.009143938199589986
