Datetime,Volume,Open,High,Low,Close,Rate
2007-02-02 07:00,18720,120.803,121.370,120.648,121.14,0.0027896658195574885
2007-02-04 07:00,123,121.11,121.120,121.055,121.085,-0.00020642391214602992
2007-02-05 07:00,17916,121.08,121.190,120.248,120.345,-0.0060703666997026715
2007-02-06 07:00,18520,120.335,120.572,119.969,120.102,-0.0019362612706194365
2007-02-07 07:00,16550,120.117,120.810,119.997,120.675,0.004645470666100491
2007-02-08 07:00,18597,120.68,121.447,120.595,121.04,0.0029830957905203795
2007-02-09 07:00,17858,121.035,121.745,121.000,121.715,0.005618209608790902
2007-02-10 07:00,4,121.766,121.766,121.766,121.766,0.0
2007-02-11 07:00,121,121.816,121.830,121.766,121.805,-9.030012477831877e-05
2007-02-12 07:00,14607,121.815,122.095,121.588,121.935,0.0009851003570989169
2007-02-13 07:00,17682,121.935,121.950,121.099,121.165,-0.00631483987370317
2007-02-14 07:00,20085,121.17,121.363,120.630,120.792,-0.003119584055459273
2007-02-15 07:00,24108,120.772,120.774,119.160,119.278,-0.012370416984069153
2007-02-16 07:00,18724,119.268,119.571,118.993,119.43,0.001358285541805062
2007-02-18 07:00,464,119.345,119.420,119.250,119.39,0.0003770581088441217
2007-02-19 07:00,11098,119.395,119.732,119.230,119.562,0.0013987185393023293
2007-02-20 07:00,14794,119.562,120.351,119.537,120.028,0.0038975594252355114
2007-02-21 07:00,18350,120.033,121.189,119.715,120.939,0.007547924320811707
2007-02-22 07:00,13206,120.929,121.631,120.839,121.579,0.005375054784212153
2007-02-23 07:00,14006,121.579,121.633,120.939,121.08,-0.004104327227563932
2007-02-24 07:00,3,121.08,121.080,121.080,121.08,0.0
2007-02-25 07:00,358,121.06,121.110,121.025,121.035,-0.00020650916900715087
2007-02-26 07:00,11142,121.04,121.075,120.360,120.647,-0.0032468605419696023
2007-02-27 07:00,19489,120.657,120.755,117.495,117.937,-0.022543242414447558
2007-02-28 07:00,20167,117.937,118.839,117.927,118.563,0.0053079186345252535
2007-03-01 07:00,22334,118.558,118.860,116.966,117.609,-0.008004520993943996
2007-03-02 07:00,21922,117.614,117.836,116.419,116.78,-0.007090992568911891
2007-03-04 07:00,227,116.8,116.800,116.615,116.755,-0.00038527397260275435
2007-03-05 07:00,27664,116.76,116.785,115.158,115.529,-0.010542994176087776
2007-03-06 07:00,21921,115.539,116.742,115.225,116.583,0.00903590995248355
2007-03-07 07:00,16743,116.598,116.890,115.995,116.05,-0.004699909089349748
2007-03-08 07:00,20109,116.045,117.479,115.550,117.177,0.00975483648584605
2007-03-09 07:00,19184,117.177,118.377,117.095,118.335,0.009882485470698064
2007-03-10 07:00,3,118.34,118.345,118.340,118.345,4.225114078076265e-05
2007-03-11 07:00,263,118.385,118.390,118.285,118.3,-0.0007179963677831478
2007-03-12 06:00,15891,118.305,118.495,117.219,117.732,-0.004843413211614111
2007-03-13 06:00,18290,117.726,117.772,116.215,116.29,-0.012197815265956483
2007-03-14 06:00,22225,116.295,117.133,115.762,117.078,0.00673287759576939
2007-03-15 06:00,19234,117.046,117.780,117.015,117.57,0.0044768723407889776
2007-03-16 06:00,18148,117.57,117.590,116.519,116.708,-0.007331802330526451
2007-03-18 06:00,738,116.515,116.555,116.330,116.425,-0.0007724327339827783
2007-03-19 06:00,15889,116.43,117.765,116.250,117.532,0.009464914540925788
2007-03-20 06:00,16519,117.532,118.020,116.933,117.292,-0.002041997073137485
2007-03-21 06:00,12447,117.302,117.943,117.163,117.535,0.001986325893846566
2007-03-22 06:00,15537,117.535,118.300,117.247,118.118,0.004960224613944769
2007-03-23 06:00,15283,118.123,118.257,117.390,118.12,-2.539725540326705e-05
2007-03-25 06:00,273,118.0,118.135,117.960,118.075,0.0006355932203390072
2007-03-26 06:00,17394,118.075,118.421,117.634,118.13,0.0004658056320134881
2007-03-27 06:00,17386,118.13,118.384,117.708,117.82,-0.0026242275459240016
2007-03-28 06:00,23518,117.82,117.995,116.380,116.85,-0.008232897640468502
2007-03-29 06:00,19316,116.845,118.089,116.688,118.059,0.010389832684325378
2007-03-30 06:00,21731,118.065,118.396,117.225,117.825,-0.0020327785541862102
2007-04-01 06:00,485,117.682,117.690,117.445,117.535,-0.001249129008684468
2007-04-02 06:00,18891,117.535,118.073,117.460,117.852,0.002697068958182731
2007-04-03 06:00,20340,117.852,118.980,117.729,118.955,0.009359196280080053
2007-04-04 06:00,15402,118.955,119.081,118.561,118.724,-0.0019419108066074948
2007-04-05 06:00,14528,118.704,118.998,118.445,118.745,0.000345396953767447
2007-04-06 06:00,9645,118.745,119.378,118.665,119.25,0.004252810644658684
2007-04-07 06:00,1,119.26,119.260,119.260,119.26,0.0
2007-04-08 06:00,176,119.18,119.265,119.180,119.265,0.0007132069139116776
2007-04-09 06:00,9060,119.26,119.390,119.180,119.324,0.0005366426295488257
2007-04-10 06:00,18136,119.324,119.370,118.770,119.06,-0.0022124635446347405
