Datetime,Volume,Open,High,Low,Close,Rate
2018-01-22 07:00,85876,88.618,89.213,88.568,89.15,0.006003295041639517
2018-01-23 07:00,108797,89.108,89.240,88.406,88.812,-0.0033218117340755764
2018-01-24 07:00,130380,88.821,88.902,88.198,88.454,-0.004131905743011275
2018-01-25 07:00,183815,88.482,88.725,88.120,88.403,-0.0008928369611897733
2018-01-26 07:00,159792,88.401,88.868,87.892,88.187,-0.0024207870951685915
2018-01-29 07:00,126550,88.294,88.502,87.992,88.302,9.060638321980857e-05
2018-01-30 07:00,104749,88.302,88.379,87.802,88.17,-0.0014948698783720073
2018-01-31 07:00,144979,88.196,89.056,88.118,88.656,0.005215656038822712
2018-02-01 07:00,123021,88.668,89.282,88.658,89.184,0.005819461361483185
2018-02-02 07:00,164395,89.18,89.437,88.600,88.64,-0.0060551693204755124
2018-02-05 07:00,185483,88.614,88.654,87.010,87.018,-0.018010698083824266
2018-02-06 07:00,278040,87.032,87.750,86.349,87.69,0.007560437540215108
2018-02-07 07:00,162111,87.688,87.804,86.882,86.996,-0.00789161572849201
2018-02-08 07:00,206536,87.033,87.385,86.160,86.295,-0.00847954224259763
2018-02-09 07:00,236616,86.278,86.774,85.559,86.472,0.002248545399754148
2018-02-12 07:00,117102,86.482,86.577,85.996,86.403,-0.0009134848870284396
2018-02-13 07:00,124296,86.372,86.466,85.185,85.624,-0.008660213958227258
2018-02-14 07:00,165760,85.626,85.752,84.674,85.664,0.0004437904374839033
2018-02-15 07:00,149028,85.608,85.675,84.761,85.022,-0.006845154658443119
2018-02-16 07:00,127384,84.988,85.173,84.489,84.653,-0.003941732950534119
2018-02-19 07:00,79610,84.697,84.980,84.556,84.867,0.002007154916939227
2018-02-20 07:00,96052,84.857,85.123,84.794,84.868,0.00012962984786164583
2018-02-21 07:00,112824,84.859,85.265,84.748,84.839,-0.00023568507759926492
2018-02-22 07:00,109708,84.85,84.875,83.845,84.024,-0.009734826163818426
2018-02-23 07:00,89925,84.022,84.634,83.960,84.602,0.006902953988241155
2018-02-26 07:00,89595,84.803,84.803,84.112,84.289,-0.0060611063287854886
2018-02-27 07:00,103215,84.328,84.486,84.009,84.013,-0.0037354140973341918
2018-02-28 07:00,104864,84.013,84.194,83.034,83.128,-0.010534084010807911
2018-03-01 07:00,151888,83.15,83.654,82.514,82.759,-0.004702345159350635
2018-03-02 07:00,126006,82.782,82.892,81.672,82.077,-0.00851634413278247
2018-03-05 07:00,111879,81.896,82.046,81.380,81.926,0.0003663182573019578
2018-03-06 07:00,115681,81.892,82.566,81.548,82.419,0.0064353050359009555
2018-03-07 07:00,144565,82.43,82.462,81.412,82.151,-0.0033846900400340964
2018-03-08 07:00,109478,82.192,82.468,81.878,82.374,0.0022143274284602173
2018-03-09 07:00,120358,82.352,83.442,82.318,83.382,0.012507285797551984
2018-03-12 06:00,74905,83.24,83.492,82.826,82.86,-0.004565112926477601
2018-03-13 06:00,110225,82.865,83.444,82.024,82.206,-0.007952694141072731
2018-03-14 06:00,99396,82.206,82.432,81.764,82.076,-0.0015813930856629645
2018-03-15 06:00,98816,82.066,82.122,81.152,81.462,-0.007359929812589857
2018-03-16 06:00,87107,81.516,81.524,80.683,80.919,-0.007323715589577609
2018-03-19 06:00,94079,80.91,81.422,80.548,81.13,0.0027190705722407475
2018-03-20 06:00,92239,81.13,81.603,80.969,81.504,0.004609885369160723
2018-03-21 06:00,109364,81.496,82.406,81.414,82.184,0.008442132129184285
2018-03-22 06:00,137459,82.192,82.381,81.311,81.37,-0.010000973330737645
2018-03-23 06:00,156779,81.419,82.066,80.916,81.218,-0.002468711234478358
2018-03-26 06:00,103723,81.174,82.086,81.173,82.07,0.011038017099070966
2018-03-27 06:00,109034,82.062,82.448,81.690,81.714,-0.00424069605907727
2018-03-28 06:00,139686,81.726,82.843,81.702,82.674,0.011599735702224598
2018-03-29 06:00,98772,82.686,82.776,82.294,82.606,-0.0009675156616599243
2018-03-30 06:00,80007,82.612,82.662,82.332,82.415,-0.0023846414564468663
2018-04-02 06:00,77641,82.38,82.679,81.638,82.006,-0.004539936877882924
2018-04-03 06:00,106594,82.006,83.344,81.834,83.242,0.015072067897470969
2018-04-04 06:00,117643,83.25,83.716,82.566,83.624,0.0044924924924924356
2018-04-05 06:00,99313,83.609,84.269,83.552,84.217,0.007271944407898721
2018-04-06 06:00,128821,84.24,84.258,83.534,83.652,-0.006980056980056907
2018-04-09 06:00,91223,83.782,84.390,83.584,84.1,0.0037955646797641243
2018-04-10 06:00,109840,84.08,85.254,83.928,85.086,0.011964795432921031
2018-04-11 06:00,101782,85.088,85.146,84.580,84.894,-0.002279992478375193
2018-04-12 06:00,101251,84.927,85.324,84.702,85.262,0.003944564155097834
2018-04-13 06:00,87390,85.232,85.762,85.022,85.117,-0.0013492584944621137
2018-04-16 06:00,75755,85.336,85.382,84.908,85.245,-0.0010663729258459968
2018-04-17 06:00,75291,85.228,85.420,85.062,85.254,0.0003050640634534479
2018-04-18 06:00,91518,85.257,85.440,84.680,84.912,-0.004046588549913776
2018-04-19 06:00,98030,84.897,85.302,84.678,84.737,-0.0018846366773856648
2018-04-20 06:00,98239,84.739,85.168,84.305,84.324,-0.0048973908117868545
2018-04-23 06:00,84008,84.524,84.728,84.364,84.608,0.0009938005773508492
2018-04-24 06:00,92564,84.619,85.167,84.578,84.788,0.001997187392902267
2018-04-25 06:00,95278,84.81,85.231,84.666,85.178,0.004339110953896887
2018-04-26 06:00,94861,85.195,85.312,84.866,84.914,-0.003298315628851361
2018-04-27 06:00,78062,84.909,85.046,84.753,84.994,0.0010010717356227696
2018-04-30 06:00,76778,84.974,85.388,84.915,85.136,0.0019064655070961931
2018-05-01 06:00,84389,85.135,85.524,84.972,85.505,0.004346038644505671
2018-05-02 06:00,107826,85.514,85.738,85.246,85.248,-0.003110601772809027
2018-05-03 06:00,109885,85.314,85.436,84.476,84.998,-0.003703964179384255
2018-05-04 06:00,91130,84.982,85.025,84.374,84.946,-0.00042361911934293573
2018-05-07 06:00,70726,84.932,85.008,84.514,84.694,-0.0028022417934347424
2018-05-08 06:00,101691,84.635,84.705,83.892,84.262,-0.004407160158326988
2018-05-09 06:00,93843,84.263,85.508,84.157,85.379,0.013244247178476908
2018-05-10 06:00,117027,85.38,86.064,85.304,85.687,0.0035956898571094186
2018-05-11 06:00,92330,85.674,85.874,85.415,85.496,-0.002077643158951508
2018-05-14 06:00,77610,85.539,85.876,85.442,85.576,0.00043255123393997973
2018-05-15 06:00,108266,85.619,85.926,85.320,85.698,0.0009226923930435244
2018-05-16 06:00,112069,85.708,86.320,85.583,86.309,0.007012180893265495
2018-05-17 06:00,96708,86.285,86.790,86.208,86.484,0.002306310482702649
2018-05-18 06:00,98588,86.496,86.736,85.771,85.953,-0.0062777469478356475
2018-05-21 06:00,80476,86.13,86.860,86.033,86.84,0.00824335307093937
2018-05-22 06:00,95634,86.82,87.106,86.465,86.522,-0.003432388850495135
2018-05-23 06:00,131476,86.511,86.529,84.924,85.758,-0.008704095432950724
2018-05-24 06:00,131375,85.768,85.798,84.442,84.814,-0.01112302956813739
2018-05-25 06:00,123117,84.826,85.128,84.052,84.312,-0.006059462900525733
2018-05-28 06:00,84705,84.684,84.710,83.984,84.208,-0.0056208965093760225
2018-05-29 06:00,168310,84.202,84.246,83.002,83.536,-0.007909550842022717
2018-05-30 06:00,165862,83.56,84.952,83.156,84.596,0.01239827668741026
2018-05-31 06:00,149101,84.573,84.968,83.576,83.992,-0.006869804784032598
2018-06-01 06:00,115466,83.988,84.641,83.954,84.559,0.006798590274801138
