Datetime,Volume,Open,High,Low,Close,Rate
2020-06-10 06:00,94690,137.212,137.422,136.472,136.554,-0.00479549893595303
2020-06-11 06:00,111205,136.573,136.596,134.470,134.675,-0.01389732963323641
2020-06-12 06:00,116849,134.681,136.048,133.800,134.662,-0.00014107409359898914
2020-06-15 06:00,99273,134.417,135.324,133.495,135.3,0.006569109562034637
2020-06-16 06:00,101828,135.314,136.355,134.728,134.928,-0.0028526242665208013
2020-06-17 06:00,76152,134.976,135.228,134.064,134.354,-0.004608226647700226
2020-06-18 06:00,83846,134.171,134.531,132.400,132.888,-0.009562424070775257
2020-06-19 06:00,62527,132.902,133.252,131.948,131.983,-0.006914869603166113
2020-06-22 06:00,55375,131.896,133.422,131.770,133.309,0.010712985988961083
2020-06-23 06:00,80875,133.335,133.990,132.604,133.388,0.0003974950313120881
2020-06-24 06:00,73726,133.338,133.618,132.682,132.954,-0.0028798992035277728
2020-06-25 06:00,61745,133.008,133.614,132.794,133.124,0.0008721279923011055
2020-06-26 06:00,50638,133.203,133.260,132.043,132.262,-0.007064405456333585
2020-06-29 06:00,49467,132.212,132.691,131.956,132.313,0.0007639246059359143
2020-06-30 06:00,55034,132.306,133.894,132.028,133.848,0.01165480023581698
2020-07-01 06:00,51579,133.828,134.226,132.950,134.06,0.001733568461009649
2020-07-02 06:00,49049,134.026,134.707,133.787,134.033,5.2228672048532223e-05
2020-07-03 06:00,46548,134.011,134.276,133.702,134.178,0.0012461663594779651
2020-07-06 06:00,41788,134.062,134.675,134.019,134.15,0.0006564127045694816
2020-07-07 06:00,47385,134.134,135.416,134.078,134.872,0.005501960725841532
2020-07-08 06:00,62562,134.918,135.425,134.581,135.252,0.0024755777583421274
2020-07-09 06:00,54826,135.272,135.923,135.055,135.134,-0.0010201667750902273
2020-07-10 06:00,47248,135.168,135.202,134.289,134.964,-0.0015092329545455118
2020-07-13 06:00,46672,134.977,135.485,134.594,134.69,-0.0021262881824311262
2020-07-14 06:00,55608,134.721,134.782,133.984,134.618,-0.0007645430185346652
2020-07-15 06:00,51642,134.649,135.090,134.472,134.587,-0.00046045644601899624
2020-07-16 06:00,49969,134.564,135.172,134.058,134.672,0.0008025920751464292
2020-07-17 06:00,36923,134.727,134.913,134.128,134.517,-0.0015587076087199146
2020-07-20 06:00,46229,134.517,135.912,134.352,135.828,0.009745980061999652
2020-07-21 06:00,49059,135.821,136.442,135.712,135.986,0.0012148342303472369
2020-07-22 06:00,57573,135.975,136.628,135.286,136.458,0.0035521235521235824
2020-07-23 06:00,64626,136.428,136.628,135.849,136.153,-0.0020157152490691476
2020-07-24 06:00,63496,136.161,136.189,135.000,135.794,-0.0026953386065025242
2020-07-27 06:00,63695,135.734,135.828,135.150,135.744,7.367350847975381e-05
2020-07-28 06:00,63591,135.794,136.132,135.325,135.9,0.0007805941352342116
2020-07-29 06:00,61727,135.913,136.473,135.681,136.366,0.0033330145019240466
2020-07-30 06:00,66255,136.355,137.391,136.069,137.152,0.00584503685233396
2020-07-31 06:00,94513,137.161,139.204,136.796,138.539,0.010046587586850387
2020-08-03 06:00,78351,138.539,139.034,137.748,138.534,-3.609092024625162e-05
2020-08-04 06:00,54524,138.619,138.882,137.810,138.185,-0.00313088393365987
2020-08-05 06:00,58080,138.202,139.006,138.046,138.484,0.002040491454537638
2020-08-06 06:00,70329,138.553,139.240,138.438,138.716,0.0011764451148658702
2020-08-07 06:00,63415,138.743,138.814,137.849,138.26,-0.0034812567120503673
2020-08-10 06:00,47543,138.268,138.650,138.106,138.524,0.0018514768420748128
2020-08-11 06:00,54739,138.464,139.502,138.408,138.952,0.0035243817887681966
2020-08-12 06:00,59533,139.029,139.623,138.880,139.302,0.001963619101050832
2020-08-13 06:00,50936,139.322,140.212,139.240,139.736,0.0029715335697161056
2020-08-14 06:00,42945,139.725,140.019,139.345,139.494,-0.0016532474503488607
2020-08-17 06:00,43222,139.503,139.700,138.738,138.912,-0.004236468032945384
2020-08-18 06:00,51889,138.956,139.642,138.602,139.544,0.004231555312473174
2020-08-19 06:00,61165,139.574,139.956,138.798,139.024,-0.003940561995787262
2020-08-20 06:00,64091,139.029,139.877,138.570,139.81,0.005617533032676678
2020-08-21 06:00,62233,139.804,139.948,138.253,138.502,-0.009313038253554923
2020-08-24 06:00,44655,138.441,139.007,138.291,138.443,1.4446587354971069e-05
2020-08-25 06:00,50107,138.475,140.036,138.431,139.924,0.010463982668351777
2020-08-26 06:00,47296,139.938,140.304,139.637,140.014,0.0005430976575342069
2020-08-27 06:00,80267,140.023,140.858,139.698,140.672,0.00463495282917807
2020-08-28 06:00,85370,140.672,141.617,140.016,140.68,5.686988171071555e-05
2020-08-31 06:00,61095,140.661,142.043,140.506,141.574,0.006490782804046686
2020-09-01 06:00,68024,141.645,142.718,141.334,141.822,0.0012496028804404849
2020-09-02 06:00,62341,141.928,141.973,141.020,141.778,-0.001056873907897002
2020-09-03 06:00,66783,141.712,141.874,140.482,141.038,-0.004756125098791762
2020-09-04 06:00,71598,140.991,141.439,140.118,141.094,0.0007305430843102057
2020-09-07 06:00,38069,140.817,140.998,139.598,139.948,-0.006171129906190302
2020-09-08 06:00,65151,139.96,140.020,137.621,137.648,-0.016519005430122975
2020-09-09 06:00,68492,137.683,138.360,136.736,138.049,0.002658280252464094
2020-09-10 06:00,78289,138.059,138.360,135.575,135.926,-0.015449916340115529
2020-09-11 06:00,62496,135.886,136.602,135.576,135.846,-0.00029436439368288157
2020-09-14 06:00,51349,135.66,136.590,135.567,135.83,0.001253132832080318
2020-09-15 06:00,51491,135.823,136.440,135.422,135.906,0.0006110894325703187
2020-09-16 06:00,67686,135.865,136.473,135.562,136.09,0.0016560556434695786
2020-09-17 06:00,74170,136.058,136.222,134.577,135.879,-0.0013156153993150131
