Datetime,Volume,Open,High,Low,Close,Rate
2018-01-22 07:00,90987,80.548,81.296,80.496,81.292,0.009236728410388834
2018-01-23 07:00,116067,81.285,81.565,80.758,81.113,-0.0021160115642492104
2018-01-24 07:00,134858,81.145,81.202,80.088,80.122,-0.012607061433236751
2018-01-25 07:00,188467,80.16,80.598,79.958,80.13,-0.0003742514970060022
2018-01-26 07:00,166509,80.153,80.431,79.603,79.922,-0.0028819881975722522
2018-01-29 07:00,134464,79.827,80.003,79.626,79.782,-0.0005637190424292747
2018-01-30 07:00,124510,79.79,79.936,79.168,79.738,-0.0006517107406944066
2018-01-31 07:00,165745,79.714,80.918,79.694,80.402,0.008630855307725147
2018-02-01 07:00,148414,80.402,81.068,80.392,80.91,0.006318250789781293
2018-02-02 07:00,155586,80.932,81.034,80.379,80.417,-0.006363366777047404
2018-02-05 07:00,170046,80.327,80.531,79.222,79.276,-0.01308401907204305
2018-02-06 07:00,280861,79.254,80.548,78.814,80.447,0.015052867994044436
2018-02-07 07:00,163134,80.406,80.588,78.930,79.107,-0.016155510782777487
2018-02-08 07:00,196201,79.129,79.296,78.288,78.504,-0.00789849486281894
2018-02-09 07:00,213509,78.49,79.076,78.097,78.916,0.005427442986367715
2018-02-12 07:00,110329,78.881,79.096,78.497,78.931,0.0006338662035217246
2018-02-13 07:00,125308,78.914,79.026,78.238,78.428,-0.006158603036216694
2018-02-14 07:00,177282,78.412,78.936,77.652,78.814,0.005126766311278718
2018-02-15 07:00,152415,78.793,78.933,78.336,78.596,-0.0025002221009480883
2018-02-16 07:00,131523,78.612,78.792,78.328,78.555,-0.0007250801404364213
2018-02-19 07:00,75288,78.467,78.796,78.399,78.578,0.0014146074145819799
2018-02-20 07:00,105206,78.573,78.940,78.458,78.855,0.003589019128708471
2018-02-21 07:00,125008,78.822,79.300,78.746,78.86,0.00048209890639664945
2018-02-22 07:00,113017,78.876,78.878,78.228,78.359,-0.006554592017850931
2018-02-23 07:00,93910,78.378,78.416,77.647,77.959,-0.005345887876700055
2018-02-26 07:00,94964,78.179,78.314,77.774,78.092,-0.0011128308113432417
2018-02-27 07:00,112979,78.075,78.131,77.642,77.649,-0.0054562920268972385
2018-02-28 07:00,111818,77.654,77.823,76.857,76.9,-0.009709738068869482
2018-03-01 07:00,154265,76.892,77.711,76.618,77.003,0.0014435832076159316
2018-03-02 07:00,141619,77.037,77.270,76.158,76.578,-0.005958175941430782
2018-03-05 07:00,106179,76.336,76.784,75.931,76.74,0.005292391532173501
2018-03-06 07:00,128479,76.73,77.670,76.684,77.372,0.008367001172944036
2018-03-07 07:00,155780,77.404,77.454,76.788,77.278,-0.0016278228515320986
2018-03-08 07:00,116753,77.25,77.388,76.873,77.148,-0.0013203883495146132
2018-03-09 07:00,125267,77.133,78.012,77.062,77.845,0.009230809121906361
2018-03-12 06:00,78232,77.818,78.164,77.554,77.645,-0.002223136035364592
2018-03-13 06:00,109511,77.622,78.626,77.562,78.074,0.005823091391615755
2018-03-14 06:00,103007,78.058,78.298,77.650,77.95,-0.001383586563837199
2018-03-15 06:00,104930,77.933,77.941,77.108,77.38,-0.0070958387332710334
2018-03-16 06:00,91734,77.418,77.425,76.450,76.49,-0.011986876437004461
2018-03-19 06:00,94443,76.46,77.014,76.079,76.845,0.005035312581742155
2018-03-20 06:00,93901,76.832,77.050,76.428,76.532,-0.003904623073719247
2018-03-21 06:00,116051,76.544,76.854,75.966,76.654,0.0014370819397993236
2018-03-22 06:00,141047,76.633,76.778,75.859,75.86,-0.010087038221131838
2018-03-23 06:00,158396,75.896,76.426,75.543,75.789,-0.00140982396964266
2018-03-26 06:00,97003,75.699,76.988,75.698,76.92,0.016129671461974446
2018-03-27 06:00,99968,76.912,77.083,76.446,76.522,-0.005070730185146668
2018-03-28 06:00,124186,76.526,77.177,76.436,77.046,0.0067950761832581115
2018-03-29 06:00,78507,77.043,77.064,76.585,76.972,-0.000921563282842207
2018-03-30 06:00,103747,76.983,77.054,76.705,76.931,-0.000675473805905287
2018-04-02 06:00,75994,76.907,77.001,76.219,76.402,-0.006566372371825653
2018-04-03 06:00,104180,76.376,77.462,76.170,77.343,0.012661045354561626
2018-04-04 06:00,110491,77.37,78.066,77.122,77.992,0.008039291715135063
2018-04-05 06:00,88717,78.04,78.230,77.826,78.104,0.0008200922603792023
2018-04-06 06:00,133600,78.157,78.164,77.620,77.748,-0.005233056540041095
2018-04-09 06:00,86396,77.811,78.402,77.706,78.014,0.002608885633136558
2018-04-10 06:00,104594,78.024,79.144,77.908,78.934,0.011663078027273616
2018-04-11 06:00,97716,78.932,79.062,78.529,78.588,-0.0043581817260427745
2018-04-12 06:00,88171,78.626,79.190,78.510,79.172,0.006944267799455552
2018-04-13 06:00,85254,79.154,79.616,78.843,78.959,-0.002463552063066847
2018-04-16 06:00,73824,79.096,79.120,78.664,78.867,-0.002895215940123384
2018-04-17 06:00,70018,78.89,78.950,78.482,78.566,-0.004106984408670276
2018-04-18 06:00,76522,78.566,78.796,78.364,78.494,-0.0009164269531349785
2018-04-19 06:00,94037,78.536,78.770,77.940,78.084,-0.005755322399918486
2018-04-20 06:00,89738,78.079,78.104,77.455,77.619,-0.0058914688968864076
2018-04-23 06:00,78797,77.788,77.810,77.516,77.698,-0.0011569907954954931
