Datetime,Volume,Open,High,Low,Close,Rate
2020-07-09 06:00,121847,70.536,70.716,70.300,70.432,-0.0014744244073947941
2020-07-10 06:00,112621,70.444,70.483,69.978,70.286,-0.0022429163590937658
2020-07-13 06:00,100787,70.282,70.712,70.127,70.17,-0.0015935801485443609
2020-07-14 06:00,130837,70.159,70.212,69.818,70.04,-0.0016961473225102946
2020-07-15 06:00,96738,70.033,70.409,70.018,70.266,0.003327002984307456
2020-07-16 06:00,97060,70.27,70.359,70.028,70.11,-0.0022769318343531606
2020-07-17 06:00,66437,70.105,70.293,70.030,70.17,0.0009271806575850186
2020-07-20 06:00,66591,70.238,70.584,70.106,70.546,0.004385090691648494
2020-07-21 06:00,78517,70.496,71.022,70.379,70.938,0.006269859282796291
2020-07-22 06:00,90011,70.938,71.594,70.886,71.392,0.006399954890185705
2020-07-23 06:00,83858,71.409,71.676,70.772,70.903,-0.00708594154798415
2020-07-24 06:00,115084,70.89,70.922,70.040,70.494,-0.005586119339822271
2020-07-27 06:00,99845,70.49,70.552,70.192,70.438,-0.000737693289828238
2020-07-28 06:00,102485,70.466,70.580,69.830,69.995,-0.0066840745891634185
2020-07-29 06:00,97238,70.005,70.092,69.790,69.97,-0.0004999642882650752
2020-07-30 06:00,102643,70.018,70.202,69.552,70.166,0.0021137421805820806
2020-07-31 06:00,151347,70.14,70.494,69.666,70.188,0.0006843455945252612
2020-08-03 06:00,113854,70.177,70.432,69.860,70.06,-0.0016672129045129376
2020-08-04 06:00,78103,70.034,70.298,69.858,70.008,-0.0003712482508497367
2020-08-05 06:00,84958,70.045,70.488,69.936,70.196,0.002155757013348508
2020-08-06 06:00,90723,70.172,70.603,69.954,70.59,0.005956791882802348
2020-08-07 06:00,93228,70.586,70.618,69.844,69.898,-0.009746975320885195
2020-08-10 06:00,64109,69.999,70.040,69.704,69.842,-0.002242889184131152
2020-08-11 06:00,98422,69.846,70.302,69.788,70.036,0.0027202703089654057
2020-08-12 06:00,110279,70.056,70.530,69.598,70.332,0.003939705378554246
2020-08-13 06:00,90893,70.294,70.438,69.910,70.008,-0.004068626056277938
2020-08-14 06:00,80314,70.012,70.092,69.657,69.731,-0.004013597668971118
2020-08-17 06:00,84917,69.791,69.874,69.296,69.526,-0.0037970511957129225
2020-08-18 06:00,108400,69.526,69.680,69.010,69.572,0.0006616229899606835
2020-08-19 06:00,129649,69.612,70.054,69.438,69.591,-0.00030167212549561564
2020-08-20 06:00,132925,69.593,69.692,68.758,69.142,-0.0064805368356013904
2020-08-21 06:00,120414,69.142,69.276,68.824,69.2,0.0008388533742154832
2020-08-24 06:00,93426,69.13,69.402,69.063,69.17,0.0005786199913207906
2020-08-25 06:00,104286,69.168,69.737,69.072,69.662,0.007142030996992825
2020-08-26 06:00,99739,69.654,70.194,69.604,70.174,0.007465472191116236
2020-08-27 06:00,167371,70.138,70.828,70.098,70.746,0.008668624711283325
2020-08-28 06:00,158741,70.742,71.255,70.512,71.046,0.0042973057024116084
2020-08-31 06:00,127199,70.977,71.713,70.890,71.31,0.004691660678811423
2020-09-01 06:00,136708,71.313,71.866,71.248,71.626,0.0043891015663343625
2020-09-02 06:00,112785,71.626,71.979,71.571,71.884,0.0036020439505206983
2020-09-03 06:00,122015,71.894,71.958,71.006,71.274,-0.008623807271816905
2020-09-04 06:00,128872,71.275,71.526,70.891,71.409,0.001880042090494568
2020-09-07 06:00,65174,71.403,71.450,71.091,71.123,-0.003921403862582821
2020-09-08 06:00,99579,71.118,71.248,70.112,70.183,-0.013147163868500072
2020-09-09 06:00,110598,70.184,71.032,69.870,70.974,0.01125612675253628
2020-09-10 06:00,108450,70.953,71.180,70.466,70.59,-0.005116062745761272
2020-09-11 06:00,86884,70.59,71.100,70.510,70.788,0.002804929876752986
2020-09-14 06:00,62291,70.715,71.078,70.687,70.85,0.0019090716255390073
2020-09-15 06:00,71051,70.852,71.224,70.642,70.792,-0.0008468356574267808
2020-09-16 06:00,103183,70.792,71.014,70.499,70.654,-0.0019493728104871344
2020-09-17 06:00,95055,70.657,70.771,70.042,70.764,0.0015143580961546532
2020-09-18 06:00,76012,70.764,71.203,70.513,70.694,-0.0009892035498274996
2020-09-21 06:00,91706,70.759,70.788,69.563,69.77,-0.013977020591020285
2020-09-22 06:00,98526,69.772,69.862,69.474,69.582,-0.0027231554205126973
2020-09-23 06:00,104455,69.588,69.900,68.907,69.092,-0.007127665689486623
2020-09-24 06:00,102379,69.03,69.157,68.636,69.034,5.794582065775588e-05
2020-09-25 06:00,86158,69.017,69.420,68.955,69.104,0.0012605589927119883
2020-09-28 06:00,74540,69.05,69.265,68.899,69.17,0.0017378711078928973
2020-09-29 06:00,74655,69.166,69.776,69.118,69.602,0.006303675216146764
2020-09-30 06:00,98171,69.603,69.926,69.330,69.814,0.0030314785282243373
2020-10-01 06:00,92603,69.796,70.252,69.735,70.171,0.005372800733566393
2020-10-02 06:00,119738,70.178,70.255,69.551,69.907,-0.0038616090512696402
2020-10-05 06:00,66603,69.94,70.276,69.921,70.269,0.004704032027452213
